Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s),Speed(MPH)
28.32,1594.69,23.56,0,14.70
28.32,1592.85,23.69,1,14.05
28.32,1589.77,23.69,2,14.05
28.32,1585.88,23.75,3,15.34
28.33,1583.01,23.75,4,14.37
28.33,1584.03,23.75,5,13.73
28.33,1589.77,23.81,5,15.66
28.32,1588.95,23.81,6,15.02
28.32,1583.62,23.81,7,14.05
28.32,1588.34,23.81,8,13.73
28.32,1586.90,23.75,9,14.37
28.32,1588.95,23.75,10,14.37
28.32,1589.37,23.69,10,14.05
28.32,1589.77,23.56,11,14.05
28.31,1600.02,23.56,12,14.05
28.31,1603.30,23.62,13,15.02
28.31,1600.64,23.69,14,14.70
28.31,1600.43,23.62,14,14.70
28.31,1595.92,23.69,15,15.34
28.31,1596.54,23.62,16,15.34
28.31,1597.77,23.62,17,15.34
28.31,1596.95,23.62,18,15.34
28.32,1594.28,23.69,19,14.05
28.32,1593.67,23.75,19,18.57
28.31,1595.51,23.62,20,14.37
28.31,1598.38,23.38,21,8.57
28.31,1599.82,23.12,22,22.11
28.31,1597.97,22.94,23,16.95
28.32,1604.74,22.69,24,14.37
28.31,1603.10,22.50,24,14.70
28.30,1600.84,22.62,25,14.05
28.31,1602.28,22.62,26,14.05
28.30,1598.38,22.69,27,14.05
28.32,1590.39,22.69,28,14.05
28.32,1591.62,22.75,29,14.70
28.32,1586.70,22.75,29,13.73
28.32,1589.98,22.56,30,14.37
28.30,1613.35,22.44,31,14.37
28.30,1602.48,22.56,32,14.05
28.31,1596.95,22.56,33,13.41
28.32,1591.82,22.69,34,14.37
28.32,1586.70,22.75,34,15.34
28.32,1587.11,22.81,35,14.37
28.32,1591.82,22.75,36,14.05
28.32,1590.80,22.75,37,14.37
28.32,1592.23,22.81,38,15.02
28.32,1590.80,22.88,38,13.73
28.31,1593.46,22.88,39,14.70
28.32,1593.46,22.88,40,15.02
28.31,1597.97,22.88,41,14.70
28.31,1597.15,23.00,42,15.02
28.31,1601.66,23.00,43,14.70
28.30,1602.48,23.12,43,14.70
28.30,1601.66,23.06,44,14.70
28.31,1600.23,23.12,45,15.02
28.31,1600.02,23.12,46,14.37
28.31,1600.43,23.12,47,14.05
28.31,1598.38,23.19,48,14.70
28.31,1600.02,23.19,48,13.73
28.31,1601.46,23.19,49,14.70
28.31,1599.82,23.19,50,14.37
28.31,1598.38,23.19,51,15.02
28.31,1597.56,23.25,52,14.70
28.31,1593.26,23.19,53,14.70
28.32,1600.64,23.00,53,14.37
28.30,1606.38,23.00,54,15.02
28.30,1603.51,23.06,55,15.02
28.31,1597.36,23.19,56,15.34
28.31,1597.97,23.25,57,13.41
28.31,1590.18,23.31,58,14.37
28.31,1599.00,23.25,58,15.02
28.31,1599.62,23.19,59,14.37
28.31,1598.79,23.12,60,15.02
28.31,1598.38,23.12,61,14.70
28.31,1598.38,23.06,62,15.66
28.31,1594.90,23.12,63,14.37
28.32,1592.85,23.12,63,14.70
28.32,1594.08,23.12,64,14.05
28.31,1593.67,23.12,65,14.37
28.32,1595.51,23.06,66,14.70
28.31,1601.66,23.06,67,14.05
28.32,1593.05,23.06,67,14.70
28.31,1596.33,23.12,68,14.05
28.31,1600.84,23.19,69,15.02
28.31,1599.62,23.25,70,14.70
28.31,1597.97,23.31,71,14.70
28.31,1592.03,23.25,72,14.37
28.32,1595.31,23.12,72,14.70
28.32,1590.39,23.25,73,14.37
28.32,1594.08,23.31,74,14.70
28.31,1596.95,23.31,75,14.37
28.31,1597.97,23.31,76,15.02
28.31,1598.79,23.31,77,14.05
28.31,1601.46,23.25,77,14.37
28.31,1601.25,23.25,78,15.02
28.31,1601.87,23.25,79,14.05
28.31,1602.48,23.25,80,14.37
28.31,1602.89,23.19,81,15.34
28.31,1602.48,23.19,82,14.70
28.31,1601.66,23.19,82,15.34
28.31,1602.48,23.12,83,14.70
28.31,1601.46,23.19,84,15.34
28.31,1599.41,23.19,85,14.05
28.31,1599.20,23.19,86,14.05
28.31,1596.95,23.19,87,14.70
28.31,1597.77,23.19,87,11.79
28.31,1599.62,23.06,88,19.85
28.32,1581.57,22.88,89,15.02
28.33,1594.08,22.56,90,14.70
28.30,1610.07,22.19,91,15.02
28.29,1618.88,21.94,91,25.98
28.28,1640.20,21.69,92,22.76
28.26,1653.53,21.31,93,19.21
28.25,1653.12,21.12,94,25.98
28.25,1652.91,20.81,95,25.66
28.25,1660.29,20.31,96,14.70
28.24,1668.08,19.88,96,26.95
28.23,1678.13,19.44,97,26.30
28.23,1677.31,19.06,98,21.14
28.23,1674.23,18.69,99,24.69
28.23,1677.51,18.50,100,22.76
28.23,1680.18,18.19,101,26.30
28.23,1673.21,17.88,101,24.69
28.24,1657.01,17.56,102,29.53
28.25,1662.96,17.31,103,31.79
28.24,1654.96,17.12,104,28.88
28.25,1674.64,17.06,105,31.79
28.21,1701.91,17.00,106,29.21
28.20,1701.09,16.88,106,20.82
28.21,1698.42,16.62,107,23.40
28.20,1701.29,16.31,108,25.34
28.21,1689.40,16.19,109,32.75
28.22,1686.74,16.00,110,25.01
28.22,1678.13,15.88,111,29.85
28.24,1669.31,15.62,111,32.11
28.23,1679.56,15.31,112,22.11
28.22,1684.07,15.12,113,25.98
28.22,1680.79,14.94,114,22.76
28.23,1698.42,14.75,115,30.17
28.20,1704.57,14.69,116,29.21
28.21,1691.45,14.56,116,27.92
28.22,1686.53,14.38,117,31.46
28.22,1676.28,14.19,118,29.85
28.23,1674.23,14.00,119,31.46
28.22,1695.96,13.81,120,23.72
28.21,1696.99,13.88,120,27.92
28.21,1699.04,13.94,121,28.56
28.20,1700.68,14.00,122,23.08
28.21,1689.40,13.94,123,36.62
28.23,1666.85,13.94,124,38.88
28.25,1665.42,13.88,125,33.08
28.23,1677.72,13.75,125,28.24
28.22,1688.38,13.62,126,25.66
28.21,1709.29,13.50,127,19.21
28.19,1710.52,13.31,128,29.53
28.21,1682.43,13.25,129,29.53
28.23,1670.54,13.12,130,27.59
28.24,1665.62,13.00,130,35.66
28.24,1668.08,12.88,131,28.88
28.24,1670.95,12.81,132,24.05
28.23,1679.97,12.69,133,23.40
28.21,1703.55,12.69,134,24.05
28.20,1682.64,12.81,135,25.98
28.19,1718.51,13.00,135,31.14
28.19,1716.05,13.00,136,19.21
28.18,1729.79,12.94,137,28.88
28.17,1733.27,12.94,138,25.01
28.17,1738.60,12.88,139,20.50
28.15,1763.20,12.69,140,24.37
28.14,1763.00,12.62,140,27.92
28.16,1723.64,12.50,141,35.98
28.21,1677.51,12.44,142,43.07
28.24,1664.19,12.44,143,33.08
28.23,1685.30,12.50,144,35.33
28.21,1707.03,12.50,144,20.18
28.18,1739.42,12.44,145,15.02
28.16,1736.96,12.38,146,16.95
28.17,1729.99,12.31,147,29.85
28.21,1696.99,12.50,148,33.08
28.22,1681.82,12.62,149,30.82
28.23,1674.23,12.62,149,25.98
28.23,1676.69,12.56,150,33.08
28.22,1684.69,12.44,151,26.63
28.22,1685.71,12.38,152,33.72
28.22,1679.15,12.25,153,35.98
28.23,1669.93,12.19,154,22.43
28.24,1664.60,12.12,154,25.01
28.25,1658.04,12.12,155,33.72
28.25,1651.27,12.12,156,38.56
28.27,1634.05,12.25,157,39.53
28.28,1622.37,12.38,158,28.88
28.29,1622.98,12.50,159,31.14
28.27,1633.64,12.69,159,36.95
28.28,1628.52,12.75,160,25.34
28.29,1618.47,12.88,161,28.24
28.30,1613.14,12.88,162,23.08
28.29,1620.73,12.81,163,18.24
28.28,1627.49,12.81,164,27.27
28.28,1625.85,12.69,164,29.85
28.28,1634.05,12.62,165,17.60
28.27,1642.05,12.56,166,23.08
