Pressure, Airspeed
902.50,
905.50,
901.50,
904.50,
904.50,
903.50,
903.50,
911.50,
907.50,
904.50,
907.50,
908.50,
906.50,
906.50,
904.50,
901.50,
903.50,
904.50,
905.50,
911.50,
907.50,
909.50,
910.50,
909.50,
914.50,
911.50,
913.50,
909.50,
916.50,
918.50,
916.50,
914.50,
919.50,
922.50,
915.50,
920.50,10
916.50,10
921.50,10
917.50,10
922.50,10
926.50,10
925.50,10
918.50,10
920.50,10
919.50,10
920.50,10
919.50,10
925.50,10
920.50,10
923.50,10
921.50,10
921.50,10
918.50,10
915.50,10
919.50,10
921.50,10
916.50,10
923.50,10
928.50,10
924.50,10
921.50,10
925.50,10
919.50,10
922.50,10
921.50,10
918.50,10
919.50,10
917.50,10
916.50,10
916.50,10
921.50,10
914.50,10
921.50,10
917.50,10
912.50,10
911.50,10
910.50,10
917.50,10
911.50,10
912.50,10
915.50,10
914.50,10
912.50,10
910.50,10
914.50,10
912.50,10
916.50,10
911.50,10
913.50,10
916.50,10
918.50,10
913.50,10
915.50,10
916.50,10
912.50,10
911.50,10
910.50,10
914.50,10
919.50,10
914.50,10
921.50,10
916.50,10
909.50,10
917.50,10
914.50,10
918.50,10
917.50,10
914.50,10
910.50,10
909.50,10
915.50,10
908.50,10
915.50,10
912.50,10
912.50,10
914.50,10
913.50,10
911.50,99
908.50,99
908.50,99
910.50,99
908.50,99
909.50,99
910.50,99
908.50,99
909.50,99
913.50,99
912.50,99
908.50,99
907.50,99
910.50,99
910.50,99
909.50,99
911.50,99
910.50,99
911.50,99
915.50,99
914.50,99
917.50,99
913.50,99
914.50,99
918.50,99
918.50,99
918.50,99
921.50,99
922.50,99
931.50,99
924.50,99
921.50,99
922.50,99
931.50,99
921.50,20
922.50,20
922.50,20
921.50,20
922.50,20
920.50,20
920.50,20
922.50,20
925.50,20
933.50,20
927.50,20
936.50,20
935.50,20
926.50,20
928.50,20
927.50,20
930.50,20
934.50,20
929.50,20
931.50,20
931.50,20
925.50,20
