Pressure, Speed
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1023.50,50
1025.50,50
1025.50,50
1022.50,50
1025.50,50
1016.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,50
1025.50,99
1025.50,99
987.50,99
873.50,99
892.50,99
893.50,99
898.50,99
898.50,99
892.50,99
892.50,99
892.50,99
893.50,99
891.50,99
891.50,99
890.50,99
894.50,99
890.50,99
889.50,99
891.50,99
990.50,99
1015.50,99
1025.50,99
1015.50,99
994.50,99
1006.50,99
994.50,99
995.50,99
995.50,99
983.50,99
992.50,99
984.50,99
990.50,99
985.50,99
971.50,99
991.50,99
989.50,99
990.50,99
988.50,99
985.50,99
978.50,99
985.50,40
977.50,40
980.50,40
990.50,40
999.50,40
996.50,40
990.50,40
1000.50,40
985.50,40
991.50,40
980.50,40
983.50,40
980.50,40
987.50,40
977.50,40
981.50,40
974.50,40
979.50,40
979.50,40
983.50,40
996.50,40
988.50,40
989.50,40
985.50,40
1003.50,40
986.50,40
985.50,40
988.50,40
998.50,40
986.50,40
994.50,40
989.50,40
994.50,40
998.50,40
1008.50,40
996.50,40
1001.50,40
1011.50,40
1003.50,40
1014.50,40
995.50,40
998.50,40
1002.50,40
991.50,40
988.50,40
991.50,40
982.50,40
989.50,40
988.50,40
982.50,40
985.50,40
975.50,40
977.50,40
984.50,40
978.50,40
987.50,40
992.50,40
973.50,99
982.50,99
933.50,99
888.50,99
890.50,99
890.50,99
890.50,99
888.50,99
889.50,99
886.50,99
893.50,99
886.50,99
888.50,99
890.50,99
892.50,99
890.50,99
890.50,99
889.50,99
892.50,99
886.50,99
894.50,99
887.50,99
