	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.08,1818.96,24.12,0
28.08,1821.63,24.19,1
28.08,1826.96,24.25,2
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.10,1804.41,23.56,0
28.10,1805.23,23.56,1
28.10,1815.27,23.56,2
28.09,1814.86,23.56,3
28.09,1814.25,23.50,4
28.09,1814.86,23.44,4
28.10,1807.07,23.38,5
28.09,1807.69,23.31,6
28.10,1808.30,23.25,7
28.09,1809.94,23.19,8
28.09,1809.53,23.12,9
28.09,1812.81,23.00,9
28.09,1811.58,22.94,10
28.09,1811.58,22.88,11
28.08,1813.22,22.81,12
28.09,1813.84,22.75,13
28.09,1813.43,22.75,14
28.08,1819.38,22.69,14
28.08,1816.30,22.69,15
28.09,1808.10,22.62,16
28.09,1809.53,22.56,17
28.09,1816.91,22.56,18
28.09,1816.09,22.50,19
28.09,1815.68,22.44,19
28.08,1815.68,22.38,20
28.09,1816.09,22.38,21
28.09,1813.63,22.31,22
28.09,1815.48,22.31,23
28.08,1817.32,22.25,24
28.09,1810.76,22.31,24
28.09,1812.61,22.31,25
28.09,1814.25,22.25,26
28.09,1814.25,22.25,27
28.09,1813.63,22.25,28
28.09,1813.43,22.25,28
28.09,1812.40,22.31,29
28.09,1811.79,22.38,30
28.09,1813.43,22.44,31
28.09,1816.71,22.44,32
28.09,1815.89,22.44,33
28.09,1815.68,22.38,33
28.09,1815.68,22.38,34
28.09,1816.71,22.38,35
28.09,1816.30,22.38,36
28.09,1815.89,22.38,37
28.09,1816.50,22.38,38
28.09,1816.09,22.38,38
28.09,1814.66,22.44,39
28.09,1815.48,22.44,40
28.09,1816.30,22.44,41
28.09,1817.73,22.44,42
28.08,1818.35,22.44,43
28.08,1818.96,22.38,43
28.08,1817.12,22.44,44
28.08,1816.71,22.44,45
28.08,1817.32,22.44,46
28.09,1817.94,22.38,47
28.08,1818.35,22.38,48
28.08,1819.38,22.38,48
28.08,1818.35,22.38,49
28.08,1818.96,22.31,50
28.08,1820.60,22.31,51
28.08,1822.04,22.31,52
28.08,1821.83,22.31,52
28.08,1821.42,22.25,53
28.08,1819.17,22.19,54
28.08,1826.75,22.12,55
28.07,1835.16,21.81,56
28.07,1833.93,21.31,57
28.06,1834.54,21.00,57
28.07,1837.41,20.56,58
28.06,1824.50,20.25,59
28.08,1819.99,20.31,60
28.09,1811.99,20.50,61
28.09,1811.17,20.56,62
28.09,1808.92,20.62,62
28.09,1809.74,20.62,63
28.09,1809.74,20.62,64
28.09,1809.12,20.62,65
28.09,1808.92,20.62,66
28.09,1809.33,20.62,67
28.09,1808.30,20.69,67
28.09,1808.10,20.69,68
28.09,1808.10,20.69,69
28.10,1807.07,20.69,70
28.10,1807.07,20.75,71
28.10,1806.66,20.75,71
28.09,1806.66,20.75,72
28.10,1807.07,20.75,73
28.10,1807.48,20.75,74
28.10,1807.69,20.81,75
28.09,1809.12,20.75,76
28.09,1809.74,20.81,76
28.09,1809.12,20.81,77
28.09,1810.15,20.81,78
28.10,1807.07,20.88,79
28.10,1807.69,20.88,80
28.09,1809.33,20.88,81
28.09,1807.48,20.94,81
28.09,1808.51,20.88,82
28.10,1808.30,20.94,83
28.10,1814.86,20.88,84
28.08,1821.42,20.94,85
28.08,1815.68,20.94,86
28.08,1831.67,20.94,86
28.07,1822.04,21.00,87
28.09,1805.64,21.06,88
28.10,1804.00,21.19,89
28.10,1812.20,21.25,90
28.10,1813.84,21.25,91
28.09,1809.74,21.31,91
28.09,1809.94,21.25,92
28.09,1812.20,21.31,93
28.09,1817.32,21.25,94
28.08,1818.35,21.25,95
28.08,1817.53,21.31,95
28.09,1810.56,21.31,96
28.09,1807.07,21.31,97
28.10,1808.92,21.25,98
28.09,1815.68,21.25,99
28.09,1813.22,21.31,100
28.09,1811.58,21.38,100
28.09,1808.71,21.38,101
28.10,1808.51,21.44,102
28.09,1813.43,21.50,103
28.09,1805.23,21.56,104
28.10,1804.00,21.62,105
28.09,1811.17,21.62,105
28.09,1809.53,21.62,106
28.09,1812.20,21.62,107
28.09,1814.66,21.62,108
28.09,1813.43,21.69,109
28.09,1811.99,21.62,110
28.09,1814.25,21.56,110
28.09,1812.40,21.56,111
28.09,1811.58,21.56,112
28.09,1811.79,21.62,113
28.09,1811.99,21.69,114
28.09,1806.25,21.75,115
28.10,1806.46,21.69,115
28.09,1810.97,21.56,116
28.09,1810.97,21.44,117
28.09,1811.99,21.38,118
28.09,1810.15,21.38,119
28.09,1813.02,21.38,119
28.09,1811.58,21.31,120
28.09,1812.20,21.25,121
28.09,1811.99,21.31,122
28.09,1811.58,21.31,123
28.09,1815.89,21.38,124
28.09,1806.66,21.38,124
28.10,1802.97,21.38,125
