	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.09,1811.38,22.19,0
28.09,1815.48,22.12,1
28.08,1818.96,22.12,2
28.08,1814.25,22.12,3
28.09,1813.84,22.19,4
28.08,1815.68,22.19,4
28.09,1816.30,22.12,5
28.09,1818.35,22.12,6
28.08,1820.60,22.12,7
28.08,1820.19,22.12,8
28.08,1819.99,22.12,9
28.08,1824.09,22.06,9
28.08,1818.14,22.12,10
28.08,1819.78,22.19,11
28.08,1826.14,22.31,12
28.08,1813.63,22.44,13
28.09,1809.12,22.56,14
28.09,1810.15,22.56,14
28.09,1811.17,22.69,15
28.09,1816.50,22.69,16
28.08,1817.94,22.75,17
28.09,1809.33,22.94,18
28.09,1809.12,23.00,19
28.09,1803.59,23.06,19
28.10,1802.56,23.12,20
28.10,1803.79,23.12,21
28.10,1806.66,23.06,22
28.10,1806.46,23.00,23
28.10,1796.41,23.12,24
28.11,1793.95,23.25,24
28.11,1801.33,23.25,25
28.10,1797.44,23.19,26
28.09,1805.64,23.25,27
28.10,1809.74,23.25,28
28.09,1804.20,23.50,28
28.10,1794.16,23.62,29
28.11,1795.39,23.69,30
28.10,1800.51,23.62,31
28.10,1802.56,23.56,32
28.10,1806.05,23.44,33
28.10,1804.82,23.44,33
28.10,1803.79,23.44,34
28.10,1801.33,23.56,35
28.12,1785.14,23.62,36
28.11,1796.00,23.62,37
28.11,1799.49,23.81,38
28.11,1788.42,23.88,38
28.11,1787.39,23.88,39
28.12,1784.52,23.94,40
28.11,1798.88,24.00,41
28.10,1802.97,24.12,42
28.10,1802.56,24.25,43
28.10,1800.51,24.31,43
28.10,1800.10,24.38,44
28.10,1800.51,24.44,45
28.10,1801.54,24.56,46
28.10,1804.41,24.50,47
28.10,1812.40,24.12,48
28.08,1819.38,23.62,48
28.08,1821.63,23.06,49
28.09,1814.86,22.38,50
28.08,1821.83,21.88,51
28.09,1818.96,21.56,52
28.08,1825.52,21.31,52
28.06,1844.38,21.06,53
28.06,1843.36,20.75,54
28.06,1838.23,20.25,55
28.06,1840.69,19.81,56
28.06,1848.07,19.44,57
28.05,1855.86,19.12,57
28.04,1862.83,18.75,58
28.04,1864.06,18.44,59
28.04,1860.99,18.06,60
28.04,1863.45,17.81,61
28.04,1870.01,17.56,62
28.02,1874.31,17.31,62
28.03,1871.24,17.19,63
28.03,1866.52,17.06,64
28.04,1858.53,16.94,65
28.05,1845.41,16.88,66
28.07,1825.73,16.81,67
28.08,1824.91,16.75,67
28.06,1840.08,16.75,68
28.07,1834.13,16.56,69
28.07,1834.75,16.38,70
28.06,1839.26,16.25,71
28.05,1841.92,16.12,72
28.06,1834.95,16.00,72
28.06,1837.21,15.88,73
28.06,1837.00,15.81,74
28.07,1837.21,15.69,75
28.07,1828.19,15.62,76
28.08,1826.75,15.56,76
28.07,1837.41,15.50,77
28.06,1838.85,15.50,78
28.06,1840.69,15.44,79
28.06,1843.56,15.38,80
28.06,1844.59,15.31,81
28.06,1845.61,15.25,81
28.06,1843.97,15.19,82
28.06,1840.69,15.19,83
28.06,1843.56,15.12,84
28.06,1847.46,15.12,85
28.05,1849.51,15.12,86
28.05,1855.86,15.19,86
28.05,1847.66,15.25,87
28.06,1839.05,15.31,88
28.07,1832.90,15.44,89
28.07,1835.57,15.44,90
28.07,1834.13,15.50,91
28.07,1836.18,15.56,91
28.06,1847.05,15.62,92
28.06,1842.33,15.69,93
28.07,1831.47,15.62,94
28.07,1831.06,15.50,95
28.07,1838.23,15.44,95
28.06,1846.02,15.44,96
28.06,1849.71,15.50,97
28.05,1848.89,15.44,98
28.05,1838.23,15.44,99
28.08,1820.19,15.38,100
28.09,1816.09,15.25,100
28.08,1828.39,15.25,101
28.07,1831.06,15.31,102
28.07,1833.31,15.25,103
28.07,1832.08,15.25,104
28.08,1820.81,15.19,105
28.08,1829.01,15.19,105
28.06,1845.20,15.19,106
28.05,1856.07,15.25,107
28.04,1861.40,15.19,108
28.04,1858.94,15.19,109
28.04,1856.07,15.06,110
28.05,1847.66,15.00,110
28.06,1842.74,14.94,111
28.06,1838.03,14.94,112
28.07,1834.75,15.00,113
28.06,1839.88,15.00,114
28.06,1830.65,15.06,115
28.07,1829.01,15.12,115
28.07,1829.01,15.06,116
28.08,1831.06,15.12,117
28.07,1808.10,15.25,118
28.11,1793.13,15.31,119
28.10,1818.76,15.44,119
28.08,1819.99,15.50,120
28.09,1814.25,15.44,121
28.09,1818.55,15.31,122
28.08,1827.37,15.25,123
28.07,1832.49,15.19,124
28.07,1832.90,15.12,124
28.07,1838.03,15.19,125
28.06,1843.77,15.12,126
28.06,1833.72,15.06,127
28.08,1819.17,15.00,128
28.09,1810.76,15.00,129
28.09,1815.48,15.06,129
28.08,1822.65,15.00,130
28.08,1833.31,14.94,131
28.07,1829.62,14.94,132
