	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.13,1767.51,18.06,0
28.14,1766.48,18.06,1
28.14,1762.59,18.12,2
28.13,1775.09,18.12,3
28.13,1779.60,18.12,4
28.12,1783.09,18.12,4
28.12,1783.70,18.19,5
28.12,1787.19,18.12,6
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.12,1780.83,16.25,0
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.13,1780.01,19.19,0
28.12,1780.01,19.25,1
28.12,1781.45,19.19,2
28.12,1776.53,19.25,3
28.12,1781.45,19.12,4
28.12,1779.40,19.12,4
28.12,1781.24,19.06,5
28.12,1783.09,19.00,6
28.12,1784.73,18.94,7
28.12,1785.55,18.88,8
28.12,1786.57,18.81,9
28.12,1785.14,18.81,9
28.12,1785.14,18.81,10
28.12,1785.55,18.75,11
28.12,1783.09,18.75,12
28.12,1785.55,18.62,13
28.12,1786.57,18.56,14
28.12,1786.16,18.44,14
28.12,1787.19,18.38,15
28.11,1771.40,18.38,16
28.13,1770.58,18.38,17
28.14,1768.53,18.56,18
28.13,1766.69,18.62,19
28.14,1767.71,18.69,19
28.14,1766.28,18.75,20
28.14,1766.89,18.81,21
28.14,1756.23,18.81,22
28.14,1764.43,18.69,23
28.14,1768.33,18.62,24
28.13,1769.56,18.56,24
28.13,1768.53,18.44,25
28.15,1758.69,18.50,26
28.14,1761.15,18.56,27
28.14,1766.69,18.69,28
28.14,1766.69,18.75,28
28.14,1764.43,18.88,29
28.14,1765.46,18.94,30
28.14,1764.02,19.00,31
28.14,1764.02,19.06,32
28.14,1768.74,19.12,33
28.13,1767.71,19.19,33
28.13,1768.53,19.06,34
28.14,1768.53,18.88,35
28.14,1769.76,18.75,36
28.13,1770.99,18.62,37
28.13,1771.81,18.50,38
28.13,1774.68,18.44,38
28.13,1774.68,18.44,39
28.14,1767.51,18.44,40
28.13,1770.58,18.31,41
28.13,1772.02,18.19,42
28.13,1772.43,18.12,43
28.13,1774.89,18.00,43
28.13,1775.09,17.94,44
28.13,1774.68,17.88,45
28.13,1772.02,17.81,46
28.14,1769.76,17.94,47
28.13,1774.68,18.06,48
28.13,1768.33,18.19,48
28.13,1771.20,18.25,49
28.13,1770.99,18.38,50
28.13,1770.79,18.44,51
28.13,1770.17,18.50,52
28.14,1775.91,18.50,52
28.13,1768.33,18.56,53
28.14,1765.66,18.62,54
28.14,1772.84,18.75,55
28.13,1774.68,18.88,56
28.13,1773.25,18.88,57
28.13,1776.73,18.94,57
28.13,1776.12,19.00,58
28.13,1769.35,19.12,59
28.13,1767.51,19.25,60
28.14,1768.12,19.25,61
28.14,1766.48,19.38,62
28.14,1765.25,19.44,62
28.14,1767.51,19.50,63
28.14,1767.71,19.38,64
28.13,1768.33,19.25,65
28.14,1766.28,19.31,66
28.14,1768.12,19.38,67
28.14,1767.30,19.38,67
28.14,1771.61,19.44,68
28.13,1772.02,19.50,69
28.13,1772.84,19.50,70
28.13,1768.74,19.62,71
28.14,1764.64,19.69,71
28.14,1767.71,19.62,72
28.14,1767.92,19.69,73
28.14,1780.01,19.75,74
28.13,1763.41,19.75,75
28.14,1764.23,19.62,76
28.14,1765.25,19.50,76
28.14,1765.66,19.38,77
28.14,1766.69,19.25,78
28.13,1784.93,19.25,79
28.12,1770.17,19.38,80
28.13,1775.50,19.44,81
28.13,1775.30,19.50,81
28.13,1775.71,19.56,82
28.13,1766.48,19.62,83
28.14,1770.38,19.69,84
28.13,1778.38,19.75,85
28.12,1781.86,19.81,86
28.12,1781.45,19.81,86
28.12,1782.68,19.81,87
28.12,1782.88,19.88,88
28.12,1785.75,19.81,89
28.12,1777.96,19.75,90
28.14,1782.27,19.44,91
28.10,1796.41,19.25,91
28.11,1793.75,19.19,92
28.09,1801.74,19.19,93
28.12,1779.40,19.00,94
28.13,1766.69,18.81,95
28.14,1760.54,18.94,95
28.14,1763.82,19.12,96
28.14,1763.82,19.31,97
28.14,1764.84,19.44,98
28.14,1765.46,19.56,99
28.14,1765.87,19.69,100
28.14,1766.28,19.81,100
28.14,1767.30,19.88,101
28.14,1766.28,20.00,102
28.14,1766.07,20.12,103
28.14,1764.84,20.25,104
28.14,1768.33,20.25,105
28.14,1765.87,20.31,105
28.14,1769.15,20.38,106
28.14,1766.89,20.50,107
28.14,1761.77,20.44,108
28.14,1762.59,20.25,109
28.14,1763.41,20.19,110
28.14,1764.23,20.12,110
28.14,1765.25,20.19,111
28.14,1756.23,20.31,112
28.15,1756.64,20.25,113
28.15,1756.64,20.19,114
28.15,1758.69,20.12,115
28.14,1761.36,20.06,115
28.15,1763.82,20.00,116
28.14,1763.82,20.00,117
28.14,1770.79,20.00,118
28.14,1763.20,20.06,119
28.14,1769.56,20.00,119
28.13,1770.79,20.12,120
28.14,1761.77,20.19,121
28.14,1762.38,20.12,122
28.14,1765.05,20.06,123
28.14,1755.62,20.00,124
28.14,1760.74,19.88,124
28.14,1758.69,19.94,125
28.15,1758.28,19.94,126
28.15,1756.85,19.94,127
28.15,1765.25,19.88,128
28.14,1763.41,20.19,129
28.14,1765.25,20.31,129
28.14,1766.89,20.12,130
28.14,1766.89,20.06,131
28.14,1766.69,20.00,132
28.14,1768.33,19.94,133
28.13,1768.94,19.94,134
28.13,1768.33,19.81,134
28.13,1770.38,19.75,135
28.13,1769.35,19.69,136
28.13,1772.63,19.69,137
28.13,1764.23,19.62,138
28.15,1754.39,19.69,138
28.15,1751.52,19.81,139
28.15,1761.15,19.81,140
28.15,1757.26,19.81,141
28.14,1767.10,19.75,142
28.14,1768.33,19.81,143
28.13,1773.86,19.94,143
28.13,1768.33,20.12,144
28.14,1768.33,20.06,145
28.14,1767.30,20.00,146
28.13,1769.56,19.88,147
28.13,1769.97,19.88,148
28.13,1770.79,19.88,148
28.13,1772.02,19.88,149
28.13,1772.84,19.88,150
28.13,1771.40,19.88,151
28.13,1772.02,19.81,152
28.13,1776.94,19.81,153
28.13,1774.48,19.88,153
28.13,1776.12,19.81,154
28.13,1775.09,19.81,155
28.13,1775.30,19.75,156
28.13,1773.45,19.69,157
28.13,1772.84,19.69,158
28.13,1772.22,19.62,158
28.13,1775.30,19.56,159
28.12,1779.60,19.50,160
28.12,1777.96,19.50,161
28.13,1776.53,19.44,162
28.13,1776.53,19.44,162
28.13,1776.12,19.38,163
28.13,1776.12,19.31,164
28.13,1777.35,19.25,165
28.13,1776.94,19.25,166
28.13,1776.53,19.19,167
28.13,1775.09,19.12,167
28.13,1775.30,19.12,168
28.13,1776.12,19.12,169
28.13,1776.12,19.06,170
28.12,1775.30,19.06,171
28.13,1775.50,19.06,172
28.13,1776.12,19.00,172
28.12,1782.06,19.00,173
28.12,1781.86,19.00,174
28.12,1779.60,18.94,175
28.12,1780.63,18.88,176
28.12,1776.94,18.81,177
28.12,1777.55,18.81,177
28.13,1772.84,18.81,178
28.13,1775.50,18.69,179
28.13,1776.12,18.69,180
28.13,1775.30,18.62,181
28.13,1776.53,18.62,182
28.13,1775.91,18.62,182
28.13,1776.12,18.62,183
28.13,1779.19,18.62,184
28.13,1779.19,18.56,185
28.12,1779.19,18.50,186
28.12,1777.96,18.56,186
28.13,1777.76,18.56,187
28.13,1777.76,18.56,188
28.12,1778.17,18.56,189
28.12,1782.47,18.56,190
28.12,1778.38,18.56,191
28.13,1778.17,18.50,191
28.13,1776.53,18.44,192
28.13,1778.99,18.38,193
28.12,1779.81,18.31,194
28.13,1779.60,18.25,195
28.12,1778.38,18.19,196
28.12,1781.45,18.25,196
28.12,1781.04,18.19,197
28.12,1777.96,18.12,198
28.12,1776.12,18.12,199
28.13,1781.04,18.12,200
28.12,1776.12,18.12,201
28.13,1775.30,18.19,201
28.13,1776.73,18.12,202
28.13,1778.78,18.12,203
28.13,1778.17,18.06,204
28.13,1775.71,18.12,205
28.13,1776.12,18.12,205
28.13,1774.89,18.19,206
28.13,1778.17,18.19,207
28.12,1773.04,18.12,208
28.13,1775.50,18.00,209
28.13,1775.09,18.00,210
28.13,1777.55,18.06,210
28.14,1764.84,18.12,211
28.15,1762.18,18.19,212
28.14,1765.66,18.06,213
28.14,1766.28,18.00,214
28.14,1764.23,17.94,215
28.14,1757.26,18.06,215
28.14,1766.48,18.19,216
28.13,1768.33,18.44,217
28.14,1766.48,18.69,218
28.14,1766.89,18.50,219
28.14,1770.79,18.31,220
28.13,1780.42,18.38,220
28.12,1778.99,18.50,221
28.13,1765.87,18.44,222
28.14,1768.53,18.38,223
28.14,1770.79,18.38,224
28.13,1771.20,18.31,225
28.13,1768.94,18.25,225
28.13,1768.33,18.31,226
28.13,1765.25,18.31,227
28.13,1773.25,18.31,228
28.13,1771.20,18.31,229
28.13,1770.38,18.31,229
28.13,1770.79,18.31,230
28.13,1771.61,18.31,231
28.13,1769.97,18.31,232
28.13,1769.76,18.38,233
28.13,1769.35,18.38,234
28.13,1772.22,18.38,234
28.13,1770.79,18.38,235
28.13,1766.89,18.31,236
28.13,1772.43,18.31,237
28.13,1772.02,18.31,238
28.13,1768.74,18.38,239
28.14,1770.79,18.31,239
28.13,1772.22,18.31,240
28.13,1772.84,18.31,241
28.13,1773.66,18.31,242
28.13,1775.91,18.31,243
28.13,1770.17,18.38,244
28.14,1767.92,18.38,244
28.14,1768.74,18.38,245
28.13,1774.68,18.38,246
28.13,1773.86,18.44,247
28.14,1766.69,18.44,248
28.13,1760.95,18.81,248
28.15,1759.10,18.81,249
28.14,1764.02,18.69,250
28.14,1764.23,18.62,251
28.14,1765.05,18.56,252
28.14,1764.84,18.56,253
28.14,1766.28,18.50,253
28.14,1768.53,18.50,254
28.13,1776.32,18.56,255
28.14,1765.66,18.56,256
28.14,1764.43,18.56,257
28.14,1766.89,18.50,258
28.14,1763.82,18.44,258
28.14,1760.95,18.44,259
28.15,1759.31,18.38,260
28.14,1756.23,18.38,261
28.15,1756.64,18.38,262
28.15,1756.23,18.31,263
28.15,1762.79,18.25,263
28.14,1757.67,18.25,264
28.15,1758.49,18.25,265
28.15,1762.18,18.25,266
28.14,1762.18,18.19,267
28.14,1759.31,18.19,268
28.14,1761.77,18.19,268
28.14,1763.00,18.12,269
28.14,1763.82,18.12,270
28.14,1763.41,18.06,271
28.14,1764.84,18.00,272
28.14,1756.23,18.12,272
28.15,1750.49,18.38,273
28.15,1757.05,18.56,274
28.15,1753.57,18.38,275
28.16,1749.06,19.44,276
28.15,1755.00,19.31,277
28.15,1759.31,18.88,277
28.14,1759.72,18.56,278
28.15,1756.44,18.44,279
28.15,1760.33,18.38,280
28.14,1765.05,18.38,281
28.14,1766.89,18.38,282
28.14,1767.10,18.44,282
28.14,1758.08,18.69,283
28.15,1756.64,18.88,284
28.15,1753.37,19.06,285
28.15,1756.85,19.06,286
28.15,1747.21,19.62,287
28.19,1731.84,20.69,287
28.16,1745.57,21.44,288
28.16,1744.96,21.75,289
28.16,1751.93,21.75,290
28.15,1760.33,21.25,291
28.14,1762.18,20.88,292
28.13,1776.12,20.62,292
28.11,1793.13,20.62,293
28.11,1792.11,20.69,294
28.11,1789.65,20.69,295
28.11,1792.31,20.62,296
28.11,1787.80,20.75,296
28.12,1774.07,20.81,297
28.12,1770.99,21.00,298
28.14,1768.12,20.88,299
28.13,1767.51,20.69,300
28.13,1769.35,20.62,301
28.13,1777.35,20.56,301
28.13,1772.02,20.44,302
28.13,1772.22,20.38,303
28.13,1777.35,20.25,304
28.12,1778.99,20.25,305
28.12,1780.83,20.25,306
28.12,1784.52,20.19,306
