	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.12,1783.91,15.69,0
28.12,1785.96,15.75,1
28.12,1788.62,15.81,2
28.11,1793.34,15.75,3
28.11,1792.93,15.75,4
28.11,1794.16,15.69,4
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.10,1806.46,22.38,0
28.09,1809.53,22.31,1
28.09,1810.76,22.31,2
28.09,1810.97,22.25,3
28.09,1811.58,22.25,4
28.09,1810.35,22.25,4
28.09,1804.61,22.25,5
28.09,1810.35,22.19,6
28.09,1811.58,22.19,7
28.09,1811.38,22.06,8
28.09,1811.58,22.06,9
28.09,1813.84,22.00,9
28.09,1815.48,22.00,10
28.08,1822.65,21.94,11
28.08,1812.81,21.94,12
28.09,1793.54,22.00,13
28.11,1791.29,22.00,14
28.11,1791.49,22.06,14
28.11,1794.57,22.00,15
28.10,1804.00,22.06,16
28.10,1803.18,22.00,17
28.10,1804.61,22.06,18
28.08,1825.93,22.06,19
28.08,1823.27,22.19,19
28.09,1817.94,22.31,20
28.10,1800.92,22.31,21
28.09,1811.17,22.31,22
28.10,1809.12,22.38,23
28.10,1804.61,22.31,24
28.09,1809.33,22.25,24
28.09,1812.81,22.38,25
28.09,1813.84,22.56,26
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.10,1806.25,22.56,0
28.10,1807.07,22.62,1
28.09,1807.28,22.75,2
28.09,1807.89,22.69,3
28.09,1812.20,22.75,4
28.09,1812.61,22.81,4
28.09,1811.79,22.88,5
28.09,1811.99,22.94,6
28.09,1811.58,22.94,7
28.09,1814.66,22.88,8
28.08,1818.96,22.81,9
28.09,1811.17,22.88,9
28.09,1809.12,23.00,10
28.10,1808.10,23.12,11
28.09,1809.94,23.19,12
28.09,1806.46,23.25,13
28.10,1803.18,23.31,14
28.10,1805.43,23.38,14
28.10,1806.46,23.44,15
28.10,1803.59,23.56,16
28.10,1806.66,23.56,17
28.09,1807.48,23.50,18
28.09,1809.33,23.44,19
28.09,1807.48,23.38,19
28.10,1806.25,23.25,20
28.09,1810.76,23.19,21
28.10,1792.72,23.25,22
28.11,1804.20,23.25,23
28.10,1804.82,23.19,24
28.10,1807.28,23.06,24
28.10,1805.84,22.94,25
28.10,1800.10,22.94,26
28.10,1810.15,22.88,27
28.09,1808.71,22.94,28
28.10,1802.56,22.94,28
28.10,1805.64,22.88,29
28.09,1813.43,22.62,30
28.09,1813.02,22.50,31
28.09,1810.56,22.50,32
28.09,1812.61,22.31,33
28.09,1811.99,22.25,33
28.09,1810.15,22.19,34
28.09,1811.17,22.06,35
28.09,1807.07,22.12,36
28.10,1809.12,22.12,37
28.10,1808.92,21.94,38
28.09,1818.76,21.56,38
28.08,1810.76,21.25,39
28.09,1822.86,20.75,40
28.08,1824.91,20.38,41
28.07,1834.75,20.00,42
28.07,1834.75,19.69,43
28.07,1829.21,19.25,43
28.07,1830.24,18.75,44
28.07,1841.51,18.31,45
28.05,1852.38,18.00,46
28.05,1852.38,17.69,47
28.05,1845.61,17.44,48
28.05,1847.87,17.12,48
28.05,1848.48,16.88,49
28.06,1837.62,16.69,50
28.07,1821.42,16.62,51
28.08,1817.53,16.44,52
28.08,1821.83,16.25,52
28.08,1823.88,16.06,53
28.07,1832.70,16.00,54
28.06,1831.88,15.94,55
28.09,1807.69,15.94,56
28.10,1800.10,15.88,57
28.10,1793.95,15.62,57
28.11,1797.44,15.50,58
28.10,1808.92,15.50,59
28.10,1812.20,15.56,60
28.09,1815.68,15.62,61
28.09,1802.97,15.69,62
28.10,1806.25,15.56,62
28.10,1811.17,15.62,63
28.10,1811.17,15.62,64
28.09,1805.64,15.56,65
28.10,1802.56,15.56,66
28.09,1820.81,15.56,67
28.08,1817.32,15.56,67
28.09,1815.68,15.56,68
28.10,1811.58,15.62,69
28.09,1813.84,15.50,70
28.11,1790.06,15.44,71
28.11,1797.03,15.62,71
28.11,1796.82,15.75,72
28.11,1796.82,15.81,73
28.11,1795.18,15.88,74
28.11,1793.54,16.00,75
28.11,1793.13,16.00,76
28.11,1794.16,16.06,76
28.11,1793.95,16.12,77
28.11,1793.13,16.19,78
28.11,1792.72,16.25,79
28.11,1790.88,16.31,80
28.11,1790.88,16.38,81
28.11,1794.16,16.44,81
28.11,1791.49,16.56,82
28.11,1790.26,16.56,83
28.12,1794.16,16.56,84
28.11,1793.54,16.62,85
28.11,1794.77,16.62,86
28.11,1794.36,16.62,86
28.11,1792.31,16.69,87
28.11,1793.95,16.69,88
28.11,1794.57,16.69,89
28.11,1792.11,16.75,90
28.11,-0.01,-0.06,90
0.00,77848.34,16.81,91
28.12,1786.57,16.94,92
28.12,1785.96,17.06,93
28.12,1785.55,17.06,94
28.12,1780.22,17.31,94
28.12,1780.22,17.38,95
28.12,1782.47,17.50,96
28.12,1785.55,17.56,97
28.12,-0.01,-0.06,98
28.12,1782.27,17.88,100
28.12,1783.70,18.00,101
28.12,1784.73,18.06,102
28.12,1784.32,18.12,102
28.12,1784.73,18.25,103
28.12,1782.88,18.31,104
28.12,1782.06,18.44,105
28.12,1779.40,18.56,106
28.12,1779.19,18.62,107
28.13,1778.38,18.75,107
28.12,1780.22,18.81,108
28.12,1779.19,18.94,109
28.13,1779.60,19.00,110
28.12,1779.60,19.12,111
28.12,1779.81,19.19,112
28.12,1778.99,19.31,112
28.12,1780.01,19.31,113
28.12,1783.09,19.44,114
28.12,1776.73,19.62,115
28.12,1783.50,19.75,116
28.12,1784.52,19.94,117
28.12,1787.19,20.00,117
28.12,1789.24,20.19,118
28.12,1787.39,20.44,119
28.12,1787.80,20.62,120
28.12,1789.24,20.81,121
28.11,1795.59,20.88,122
28.11,1789.44,20.88,122
28.11,1794.57,20.56,123
