	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.11,1799.28,21.00,0
28.11,1789.44,21.00,1
28.11,1792.72,21.00,2
28.11,1791.90,20.94,3
28.11,1792.31,20.88,4
28.11,1792.31,20.81,4
28.11,1791.08,20.81,5
28.11,1790.88,20.75,6
28.11,1788.83,20.75,7
28.11,1797.23,20.75,8
28.11,1787.19,20.69,9
28.12,1777.35,20.69,9
28.13,1776.12,20.62,10
28.13,1779.19,20.50,11
28.12,1777.35,20.44,12
28.12,1778.38,20.38,13
28.13,1777.96,20.38,14
28.12,1779.40,20.25,14
28.13,1777.55,20.31,15
28.12,1778.58,20.25,16
28.12,1780.01,20.19,17
28.12,1780.01,20.12,18
28.12,1779.19,20.06,19
28.12,1778.58,20.06,19
28.12,1779.40,20.00,20
28.12,1778.99,20.00,21
28.13,1778.17,19.94,22
28.13,1777.76,19.94,23
28.13,1778.17,19.88,24
28.12,1779.40,19.88,24
28.13,1776.94,19.88,25
28.13,1777.55,19.81,26
28.13,1777.96,19.75,27
28.13,1777.14,19.75,28
28.13,1775.50,19.75,28
28.13,1774.89,19.75,29
28.13,1774.68,19.69,30
28.13,1776.12,19.62,31
28.13,1776.94,19.62,32
28.13,1773.86,19.62,33
28.13,1773.04,19.62,33
28.13,1773.86,19.56,34
28.13,1773.66,19.50,35
28.13,1775.30,19.50,36
28.13,1775.30,19.44,37
28.13,1774.68,19.44,38
28.13,1774.27,19.44,38
28.13,1775.91,19.38,39
28.13,1775.50,19.38,40
28.13,1775.09,19.38,41
28.13,1774.27,19.31,42
28.13,1774.89,19.31,43
28.13,1774.68,19.31,43
28.13,1774.27,19.25,44
28.13,1773.86,19.25,45
28.13,1773.86,19.25,46
28.13,1772.22,19.25,47
28.13,1772.84,19.19,48
28.13,1773.04,19.19,48
28.13,1772.63,19.19,49
28.13,1774.89,19.12,50
28.13,1773.86,19.12,51
28.13,1772.43,19.12,52
28.13,1772.84,19.12,52
28.13,1772.43,19.06,53
28.13,1774.48,19.06,54
28.13,1773.25,19.06,55
28.13,1773.86,19.00,56
28.13,1773.86,19.00,57
28.13,1774.68,19.00,57
28.13,1774.27,19.00,58
28.13,1772.63,19.00,59
28.13,1771.61,19.00,60
28.13,1771.20,19.00,61
28.13,1771.40,19.00,62
28.13,1773.45,18.94,62
28.13,1771.81,18.94,63
28.13,1773.04,18.94,64
28.13,1772.43,18.94,65
28.13,1771.20,18.94,66
28.13,1772.43,18.88,67
28.13,1772.22,18.88,67
28.13,1772.43,18.88,68
28.13,1770.79,18.88,69
28.13,1771.61,18.81,70
28.13,1771.40,18.81,71
28.13,1771.81,18.81,71
28.13,1772.84,18.81,72
28.13,1771.81,18.81,73
28.13,1772.02,18.75,74
28.13,1771.40,18.75,75
28.13,1773.25,18.75,76
28.13,1774.48,18.69,76
28.13,1772.84,18.69,77
28.13,1773.45,18.69,78
28.13,1772.84,18.69,79
28.13,1774.07,18.62,80
28.13,1774.48,18.62,81
28.13,1774.48,18.56,81
28.13,1773.25,18.56,82
28.13,1773.04,18.56,83
28.13,1774.68,18.56,84
28.13,1774.07,18.56,85
28.13,1773.45,18.56,86
28.13,1775.91,18.50,86
28.13,1774.48,18.50,87
28.13,1773.86,18.50,88
28.13,1775.50,18.44,89
28.13,1775.71,18.44,90
28.13,1776.12,18.44,91
28.13,1774.07,18.44,91
28.13,1775.50,18.38,92
28.13,1776.12,18.38,93
28.13,1775.09,18.38,94
28.13,1775.09,18.38,95
28.12,1782.47,18.38,95
28.12,1782.27,18.38,96
28.12,1783.29,18.31,97
28.12,1780.42,18.25,98
28.12,1781.65,18.25,99
28.13,1781.45,18.19,100
28.12,1785.14,18.12,100
28.12,1784.11,18.12,101
28.12,1781.86,18.12,102
28.12,1780.83,18.06,103
28.12,1779.40,18.12,104
28.12,1780.42,18.06,105
28.12,1779.19,18.06,105
28.12,1780.22,18.00,106
28.12,1788.83,18.06,107
28.12,1789.24,18.06,108
28.11,1784.52,18.00,109
28.12,1778.38,17.94,110
28.12,1779.40,17.94,110
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.12,1784.52,18.12,0
28.12,1786.98,18.25,1
28.11,1793.95,18.31,2
28.12,1786.57,18.38,3
28.12,1786.57,18.38,4
28.13,1769.76,18.75,5
28.12,1785.96,18.56,5
28.12,1781.04,18.50,6
28.11,1786.16,18.44,7
28.12,1784.73,18.38,8
28.12,1784.93,18.31,9
28.12,1785.75,18.31,9
28.12,1783.70,18.38,10
28.12,1785.55,18.31,11
28.12,1786.57,18.25,12
28.12,1785.55,18.25,13
28.12,1785.55,18.25,14
28.12,1786.78,18.19,14
28.12,1786.37,18.19,15
28.12,1785.14,18.12,16
28.12,1790.26,18.12,17
28.11,1789.85,18.19,18
28.11,1791.08,18.19,19
28.11,1786.16,18.19,19
28.12,1786.57,18.25,20
28.12,1787.60,18.19,21
28.11,1786.78,18.19,22
28.12,1784.52,18.25,23
28.12,1782.27,18.31,24
28.12,1783.70,18.25,24
28.12,1786.37,18.19,25
28.12,1785.14,18.19,26
28.12,1781.45,18.25,27
28.12,1788.83,18.25,28
28.11,1785.55,18.31,29
28.12,1783.09,18.31,29
28.12,1782.88,18.31,30
28.12,1788.62,18.31,31
28.11,1789.85,18.38,32
28.11,1786.78,18.44,33
28.11,1789.65,18.50,33
28.11,1788.62,18.50,34
28.12,1789.03,18.56,35
28.11,1789.85,18.62,36
28.11,1789.85,18.69,37
28.11,1789.65,18.75,38
28.11,1791.29,18.81,38
28.11,1789.03,18.88,39
28.11,1786.57,19.00,40
28.12,1787.19,19.06,41
28.12,1784.52,19.12,42
28.12,1785.55,19.19,43
28.12,1783.91,19.25,43
28.12,1785.55,19.31,44
28.12,1784.52,19.38,45
28.12,1788.21,19.38,46
28.12,1778.38,19.44,47
28.13,1783.91,19.56,48
28.13,1771.61,19.56,48
28.13,1775.71,19.44,49
28.12,1781.24,19.38,50
28.12,1784.11,19.38,51
28.12,1775.50,19.31,52
28.13,1775.50,19.25,52
28.12,1785.96,19.25,53
28.12,1788.42,19.25,54
28.12,1786.16,19.25,55
28.12,1786.57,19.19,56
28.12,1787.39,19.19,57
28.12,1775.30,19.25,57
28.13,1780.42,19.44,58
28.12,1778.17,19.38,59
28.13,1777.96,19.19,60
28.12,1784.52,19.19,61
28.12,1786.78,19.12,62
28.12,1785.75,19.06,62
28.13,1772.02,19.19,63
28.12,1773.45,19.31,64
28.13,1775.50,19.38,65
28.13,1775.50,19.50,66
28.13,1773.45,19.62,67
28.13,1775.71,19.69,67
28.13,1775.50,19.81,68
28.13,1777.76,19.88,69
28.12,1783.50,19.94,70
28.12,1801.33,19.88,71
28.11,1777.76,19.50,72
28.12,1805.43,19.31,72
28.12,1793.54,19.12,73
28.10,1796.82,18.94,74
28.11,1805.43,18.75,75
28.09,1810.97,18.50,76
28.08,1814.86,18.25,76
28.09,1826.96,18.06,77
28.06,1839.26,17.88,78
28.07,1831.67,17.69,79
28.06,1843.97,17.62,80
28.05,1858.32,17.62,81
28.07,1824.91,17.75,81
28.07,1827.78,17.81,82
28.07,1836.18,17.62,83
28.07,1830.65,17.50,84
28.07,1833.72,17.31,85
28.07,1830.24,17.25,86
28.07,1828.39,17.06,86
28.07,1830.65,16.94,87
28.07,1829.01,16.81,88
28.07,1835.98,16.69,89
28.07,1819.38,16.56,90
28.08,1824.29,16.50,91
28.08,1820.81,16.38,91
28.08,1820.81,16.31,92
28.08,1821.22,16.25,93
28.08,1822.86,16.12,94
28.08,1827.16,16.06,95
28.08,1826.96,16.00,95
28.07,1835.36,15.94,96
28.06,1839.46,15.94,97
28.06,1836.18,15.81,98
28.07,1822.45,15.75,99
28.08,1820.40,15.62,100
28.07,1832.49,15.62,100
28.07,1829.01,15.62,101
28.08,1819.99,15.62,102
28.08,1819.38,15.56,103
28.08,1827.98,15.50,104
28.07,1817.73,15.44,105
28.09,1818.35,15.38,105
28.07,1833.11,15.31,106
28.07,1825.32,15.38,107
28.08,1824.70,15.44,108
28.08,1823.47,15.50,109
28.08,1827.37,15.50,110
28.08,1816.71,15.50,110
28.09,1812.40,15.44,111
28.09,1816.71,15.44,112
28.08,1832.90,15.38,113
28.07,1840.90,15.44,114
28.06,1831.06,15.56,115
28.08,1824.29,15.69,115
28.07,1823.27,15.81,116
28.09,1813.43,15.75,117
28.09,1803.59,15.56,118
28.11,1804.41,15.50,119
28.10,1799.49,15.44,119
28.11,1792.11,15.44,120
28.11,1792.72,15.38,121
28.12,1784.11,15.38,122
28.12,1783.91,15.31,123
28.12,1785.14,15.31,124
28.12,1785.14,15.31,124
28.12,1782.68,15.31,125
28.12,1783.09,15.31,126
28.12,1783.09,15.31,127
28.12,1782.27,15.25,128
28.12,1782.06,15.25,129
28.12,1782.27,15.25,129
28.12,1782.27,15.19,130
28.12,1779.81,15.19,131
28.12,1781.45,15.19,132
28.12,1781.45,15.25,133
28.12,1776.94,15.25,134
28.13,1773.45,15.38,134
