	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.26,1647.38,23.69,0
28.26,1646.15,23.75,1
28.26,1644.71,23.69,2
28.26,1642.66,23.75,3
28.26,1644.10,23.75,4
28.26,1645.12,23.75,5
28.26,1645.33,23.75,5
28.26,1644.71,23.75,6
28.26,1645.53,23.75,7
28.26,1645.12,23.75,8
28.26,1643.28,23.75,9
28.27,1641.84,23.69,10
28.27,1641.02,23.75,10
28.26,1642.46,23.69,11
28.27,1640.41,23.69,12
28.27,1638.56,23.69,13
28.27,1636.51,23.69,14
28.27,1638.97,23.62,15
28.27,1637.95,23.62,15
28.27,1638.36,23.62,16
28.27,1641.64,23.56,17
28.27,1640.20,23.56,18
28.27,1639.18,23.56,19
28.27,1640.41,23.50,20
28.27,1640.20,23.50,20
28.27,1640.00,23.50,21
28.27,1640.00,23.50,22
28.27,1638.77,23.50,23
28.27,1638.97,23.50,24
28.27,1638.36,23.50,24
28.27,1638.56,23.44,25
28.27,1638.56,23.44,26
28.27,1637.95,23.44,27
28.27,1638.56,23.44,28
28.27,1639.59,23.44,29
28.27,1638.97,23.38,29
28.27,1640.41,23.38,30
28.27,1639.38,23.38,31
28.27,1639.59,23.31,32
28.27,1640.00,23.31,33
28.27,1638.97,23.31,34
28.27,1640.62,23.25,34
28.27,1642.66,23.25,35
28.27,1637.74,23.25,36
28.27,1640.41,23.25,37
28.27,1638.56,23.25,38
28.27,1638.97,23.25,39
28.27,1637.33,23.25,39
28.27,1637.13,23.25,40
28.27,1638.97,23.19,41
28.27,1638.56,23.12,42
28.27,1639.59,23.12,43
28.27,1638.77,23.12,43
28.27,1637.95,23.12,44
28.27,1638.97,23.06,45
28.27,1639.79,23.06,46
28.27,1640.00,23.00,47
28.27,1640.62,23.00,48
28.27,1640.62,23.00,48
28.27,1641.02,22.94,49
28.27,1641.64,22.94,50
28.27,1639.38,22.94,51
28.27,1640.20,22.94,52
28.27,1639.18,22.94,53
28.27,1641.02,22.94,53
28.27,1640.62,22.94,54
28.27,1640.62,22.94,55
28.27,1640.62,22.94,56
28.27,1642.46,22.88,57
28.27,1641.23,22.88,58
28.26,1642.46,22.88,58
28.27,1642.25,22.88,59
28.27,1639.59,22.94,60
28.27,1639.79,22.88,61
28.27,1641.64,22.88,62
28.27,1642.46,22.75,63
28.26,1642.25,22.69,63
28.27,1641.64,22.69,64
28.27,1638.56,22.62,65
28.27,1639.18,22.56,66
28.27,1641.64,22.56,67
28.27,1641.02,22.56,68
28.27,1644.10,22.50,68
28.27,1641.23,22.50,69
28.27,1640.62,22.50,70
28.27,1640.20,22.50,71
28.27,1640.00,22.44,72
28.27,1640.41,22.44,73
28.27,1640.20,22.38,73
28.27,1640.62,22.38,74
28.27,1640.82,22.31,75
28.27,1639.59,22.25,76
28.27,1637.13,22.25,77
28.27,1637.33,22.12,77
28.27,1635.90,22.06,78
28.27,1636.92,22.00,79
28.27,1638.97,22.00,80
28.27,1638.15,21.94,81
28.27,1637.95,21.94,82
28.27,1637.13,21.94,82
28.27,1637.95,21.94,83
28.27,1638.97,21.88,84
28.27,1636.51,21.94,85
28.27,1641.43,21.88,86
28.27,1640.20,21.88,87
28.27,1637.95,21.88,87
28.27,1638.97,21.88,88
28.27,1637.13,21.88,89
28.27,1640.20,21.81,90
28.27,1638.97,21.81,91
28.27,1640.00,21.75,92
28.27,1640.20,21.69,92
28.27,1640.20,21.69,93
28.27,1638.77,21.69,94
28.27,1640.00,21.62,95
28.27,1640.00,21.62,96
28.27,1640.20,21.56,97
28.27,1638.56,21.56,97
28.27,1637.95,21.56,98
28.27,1637.54,21.56,99
28.27,1640.20,21.56,100
28.27,1637.13,21.56,101
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.25,1652.71,22.00,0
28.26,1652.71,22.00,1
28.26,1649.43,22.06,2
28.26,1650.87,22.00,3
28.26,1654.76,22.12,4
28.25,1656.19,22.06,5
28.25,1654.55,22.06,5
28.25,1656.19,22.06,6
28.25,1660.09,22.00,7
28.24,1672.80,21.94,8
28.23,1674.85,21.81,9
28.23,1685.71,21.75,9
28.21,1699.24,21.69,10
28.20,1706.42,21.62,11
28.19,1716.67,21.56,12
28.18,1728.35,21.56,13
28.16,1742.50,21.44,14
28.17,1735.73,21.38,14
28.16,1745.57,21.25,15
28.15,1751.93,21.12,16
